Time, Quantity
96,19999.999999999993
97,39999.999999999985
98,59999.99999999998
99,80000.00000000003
100,99999.99999999997
101,120000.00000000003
102,140000.00000000003
103,159999.99999999997
104,179999.99999999997
105,200000.00000000006
106,199999.99999999997
107,200000.0
108,200000.00000000003
109,199999.99999999994
110,200000.00000000003
111,200000.0
112,199999.99999999994
113,200000.00000000006
114,200000.00000000003
115,199999.99999999994
116,199999.99999999997
117,200000.0
118,200000.00000000003
119,200000.0
120,200000.00000000003
121,200000.00000000006
122,200000.0
123,200000.00000000006
124,200000.00000000006
125,200000.00000000006
126,200000.00000000003
127,200000.00000000006
128,199999.99999999997
129,200000.00000000003
