Time, Value
0,0.0
0,0.0
0,0.0
1,0.2565150591842697
1,0.0
1,0.0
2,0.3951444047094147
2,0.0
2,0.0
3,0.4830114740892128
3,0.0
3,0.0
4,0.5455126091514835
4,0.0
4,0.0
5,0.5943434285106717
5,0.0
5,0.0
6,0.6352671812816912
6,0.0
6,0.0
7,0.6712911600313751
7,0.0
7,0.0
8,0.41477610084710537
8,0.2892989517462634
8,0.0
9,0.41477610084710537
9,0.31981038966106756
9,0.0
10,0.3049797342640987
10,0.4584397351862126
10,0.0
11,0.2964920821877219
11,0.23794865475162663
11,0.0
12,0.25323030497312843
12,0.16907604093963957
12,0.0
13,0.16536323559333035
13,0.19470604137999603
13,0.0
14,0.10415875279989106
14,0.21829980229488324
14,0.0
15,0.05403128117187149
15,0.24383856125787684
15,0.0
16,0.028832978942138383
16,0.2517748685587691
16,0.0
17,0.0
17,0.2677169664652007
17,0.0
18,0.0
18,0.2575776760652468
18,0.0
19,0.0
19,0.2492542409289649
19,0.0
20,0.0
20,0.24217856127492166
20,0.0
21,0.0
21,0.23599032447642151
21,0.0
22,0.0
22,0.2304524793871174
22,0.0
23,0.0
23,0.22540438596104526
23,0.0
24,0.0
24,0.22073459158583897
24,0.0
25,0.0
25,0.2163642914901161
25,0.0
26,0.0
26,0.21223687640023162
26,0.0
27,0.0
27,0.20831110635360553
27,0.0
28,0.0
28,0.20455653456592274
28,0.0
29,0.0
29,0.200950377426023
29,0.0
30,0.0
30,0.1974753410015849
30,0.0
31,0.0
31,0.1941180945896544
31,0.0
32,0.0
32,0.19086818950244416
32,0.0
33,0.0
33,0.18771728814099584
33,0.0
34,0.0
34,0.1846586113520014
34,0.0
35,0.0
35,0.18168654041823
35,0.0
36,0.0
36,0.17879632917097596
36,0.0
37,0.0
37,0.17598389484852664
37,0.0
38,0.0
38,0.17324566545431247
38,0.0
39,0.0
39,0.17057846777279742
39,0.0
40,0.0
40,0.16797944472434484
40,0.0
41,0.0
41,0.16544599395072515
41,0.0
42,0.0
42,0.16297572180999623
42,0.0
43,0.0
43,0.16056640859326393
43,0.0
44,0.0
44,0.15821598194544226
44,0.0
45,0.0
45,0.1559224963109114
45,0.0
46,0.0
