Time, Quantity
96,20000.000000000004
97,40000.00000000001
98,59999.99999999999
99,80000.00000000001
100,100000.0
101,120000.0
102,140000.00000000003
103,159999.99999999997
104,180000.00000000003
105,200000.0000000001
106,199999.99999999994
107,199999.99999999997
108,200000.00000000006
109,199999.99999999997
110,200000.0
111,200000.00000000003
112,199999.99999999997
113,200000.00000000003
114,200000.0
115,199999.99999999994
116,200000.0
117,199999.99999999994
118,200000.00000000003
119,200000.0
120,200000.00000000003
121,200000.00000000006
122,200000.0
123,200000.00000000006
124,200000.0000000001
125,200000.0
126,200000.00000000006
127,200000.00000000006
128,200000.0
129,200000.0
