Time, Quantity
96,20000.0
97,40000.00000000001
98,60000.0
99,80000.0
100,99999.99999999997
101,120000.0
102,140000.0
103,160000.00000000006
104,180000.0
105,200000.00000000006
106,199999.99999999994
107,200000.0
108,200000.00000000003
109,199999.99999999997
110,200000.00000000003
111,200000.00000000003
112,199999.99999999994
113,200000.00000000006
114,200000.00000000003
115,199999.99999999994
116,200000.00000000003
117,199999.99999999994
118,200000.00000000003
119,200000.0
120,200000.00000000003
121,200000.00000000006
122,200000.0
123,200000.00000000003
124,200000.0000000001
125,200000.00000000006
126,200000.0
127,200000.00000000006
128,199999.99999999997
129,200000.0
